Model,MSO4034B
Firmware Version,2.96
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0.0001472
Sample Interval,2.00E-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.94
,
,
,
Label,
TIME,CH1
-8.03E-04,0.37
-8.03E-04,0.37
-8.02E-04,0.35
-8.02E-04,0.41
-8.02E-04,0.37
-8.02E-04,0.37
-8.02E-04,0.37
-8.01E-04,0.37
-8.01E-04,0.37
-8.01E-04,0.37
-8.01E-04,0.41
-8.01E-04,0.37
-8.00E-04,0.37
-8.00E-04,0.39
-8.00E-04,0.35
-8.00E-04,0.39
-8.00E-04,0.37
-7.99E-04,0.37
-7.99E-04,0.37
-7.99E-04,0.37
-7.99E-04,0.35
-7.99E-04,0.37
-7.98E-04,0.35
-7.98E-04,0.37
-7.98E-04,0.39
-7.98E-04,0.37
-7.98E-04,0.35
-7.97E-04,0.37
-7.97E-04,0.37
-7.97E-04,0.39
-7.97E-04,0.37
-7.97E-04,0.37
-7.96E-04,0.37
-7.96E-04,0.39
-7.96E-04,0.37
-7.96E-04,0.35
-7.96E-04,0.39
-7.95E-04,0.37
-7.95E-04,0.37
-7.95E-04,0.37
-7.95E-04,0.37
-7.95E-04,0.37
-7.94E-04,0.37
-7.94E-04,0.41
-7.94E-04,0.37
-7.94E-04,0.37
-7.94E-04,0.37
-7.93E-04,0.37
-7.93E-04,0.37
-7.93E-04,0.39
-7.93E-04,0.37
-7.93E-04,0.39
-7.92E-04,0.37
-7.92E-04,0.37
-7.92E-04,0.39
-7.92E-04,0.37
-7.92E-04,0.37
-7.91E-04,0.37
-7.91E-04,0.37
-7.91E-04,0.37
-7.91E-04,0.35
-7.91E-04,0.37
-7.90E-04,0.39
-7.90E-04,0.37
-7.90E-04,0.37
-7.90E-04,0.35
-7.90E-04,0.37
-7.89E-04,0.35
-7.89E-04,0.37
-7.89E-04,0.37
-7.89E-04,0.37
-7.89E-04,0.37
-7.88E-04,0.37
-7.88E-04,0.37
-7.88E-04,0.37
-7.88E-04,0.35
-7.88E-04,0.37
-7.87E-04,0.39
-7.87E-04,0.37
-7.87E-04,0.37
-7.87E-04,0.37
-7.87E-04,0.37
-7.86E-04,0.37
-7.86E-04,0.39
-7.86E-04,0.37
-7.86E-04,0.37
-7.86E-04,0.37
-7.85E-04,0.39
-7.85E-04,0.37
-7.85E-04,0.37
-7.85E-04,0.37
-7.85E-04,0.35
-7.84E-04,0.37
-7.84E-04,0.23
-7.84E-04,0.39
-7.84E-04,0.35
-7.84E-04,0.39
-7.83E-04,0.35
-7.83E-04,0.37
-7.83E-04,0.37
-7.83E-04,0.39
-7.83E-04,0.37
-7.82E-04,0.37
-7.82E-04,0.37
-7.82E-04,0.39
-7.82E-04,0.35
-7.82E-04,0.37
-7.81E-04,0.37
-7.81E-04,0.37
-7.81E-04,0.39
-7.81E-04,0.37
-7.81E-04,0.35
-7.80E-04,0.37
-7.80E-04,0.35
-7.80E-04,0.39
-7.80E-04,0.37
-7.80E-04,0.37
-7.79E-04,0.37
-7.79E-04,0.37
-7.79E-04,0.37
-7.79E-04,0.37
-7.79E-04,0.37
-7.78E-04,0.37
-7.78E-04,0.37
-7.78E-04,0.39
-7.78E-04,0.39
-7.78E-04,0.37
-7.77E-04,0.37
-7.77E-04,0.39
-7.77E-04,0.39
-7.77E-04,0.37
-7.77E-04,0.37
-7.76E-04,0.37
-7.76E-04,0.35
-7.76E-04,0.37
-7.76E-04,0.37
-7.76E-04,0.37
-7.75E-04,0.37
-7.75E-04,0.35
-7.75E-04,0.39
-7.75E-04,0.37
-7.75E-04,0.37
-7.74E-04,0.37
-7.74E-04,0.35
-7.74E-04,0.37
-7.74E-04,0.37
-7.74E-04,0.37
-7.73E-04,0.37
-7.73E-04,0.37
-7.73E-04,0.39
-7.73E-04,0.35
-7.73E-04,0.37
-7.72E-04,0.39
-7.72E-04,0.37
-7.72E-04,0.39
-7.72E-04,0.37
-7.72E-04,0.39
-7.71E-04,0.37
-7.71E-04,0.37
-7.71E-04,0.37
-7.71E-04,0.37
-7.71E-04,0.37
-7.70E-04,0.37
-7.70E-04,0.39
-7.70E-04,0.37
-7.70E-04,0.39
-7.70E-04,0.37
-7.69E-04,0.37
-7.69E-04,0.39
-7.69E-04,0.37
-7.69E-04,0.37
-7.69E-04,0.37
-7.68E-04,0.39
-7.68E-04,0.37
-7.68E-04,0.35
-7.68E-04,0.37
-7.68E-04,0.37
-7.67E-04,0.37
-7.67E-04,0.37
-7.67E-04,0.59
-7.67E-04,0.37
-7.67E-04,0.37
-7.66E-04,0.37
-7.66E-04,0.37
-7.66E-04,0.37
-7.66E-04,0.37
-7.66E-04,0.37
-7.65E-04,0.39
-7.65E-04,0.37
-7.65E-04,0.37
-7.65E-04,0.37
-7.65E-04,0.37
-7.64E-04,0.37
-7.64E-04,0.37
-7.64E-04,0.37
-7.64E-04,0.37
-7.64E-04,0.37
-7.63E-04,0.39
-7.63E-04,0.37
-7.63E-04,0.37
-7.63E-04,0.37
-7.63E-04,0.35
-7.62E-04,0.35
-7.62E-04,0.37
-7.62E-04,0.37
-7.62E-04,0.37
-7.62E-04,0.35
-7.61E-04,0.37
-7.61E-04,0.37
-7.61E-04,0.37
-7.61E-04,0.35
-7.61E-04,0.37
-7.60E-04,0.37
-7.60E-04,0.39
-7.60E-04,0.35
-7.60E-04,0.35
-7.60E-04,0.37
-7.59E-04,0.37
-7.59E-04,0.37
-7.59E-04,0.39
-7.59E-04,0.37
-7.59E-04,0.39
-7.58E-04,0.37
-7.58E-04,0.37
-7.58E-04,0.39
-7.58E-04,0.37
-7.58E-04,0.37
-7.57E-04,0.39
-7.57E-04,0.39
-7.57E-04,0.37
-7.57E-04,0.37
-7.57E-04,0.39
-7.56E-04,0.37
-7.56E-04,0.39
